brand,year,km_driven,fuel_type,transmission,price
Maruti,2021,126008,Diesel,Automatic,1053000.0
Honda,2023,99270,Diesel,Manual,988000.0
Hyundai,2016,9757,Petrol,Automatic,845000.0
Toyota,2017,24097,Petrol,Manual,816000.0
Honda,2016,146467,Diesel,Manual,751000.0
Mahindra,2022,108892,CNG,Automatic,996000.0
Maruti,2023,75480,Petrol,Automatic,1088000.0
Toyota,2016,51163,Petrol,Automatic,846000.0
Maruti,2015,24816,Petrol,Manual,570000.0
Mahindra,2014,57853,Diesel,Automatic,802000.0
Maruti,2014,101731,Diesel,Automatic,687000.0
Hyundai,2015,67823,Diesel,Manual,651000.0
Toyota,2020,6759,Diesel,Automatic,1121000.0
Toyota,2013,97374,CNG,Manual,604000.0
Mahindra,2020,138554,CNG,Automatic,854000.0
Hyundai,2012,29442,Diesel,Manual,590000.0
Honda,2012,98501,CNG,Automatic,682000.0
Maruti,2016,7079,Petrol,Automatic,801000.0
Tata,2017,138789,Petrol,Manual,640000.0
Maruti,2017,64676,Petrol,Manual,680000.0
Maruti,2014,95397,Diesel,Automatic,727000.0
Honda,2018,77847,Petrol,Manual,823000.0
Maruti,2020,98607,CNG,Manual,707000.0
Hyundai,2022,69077,Diesel,Manual,964000.0
Hyundai,2023,43258,CNG,Manual,945000.0
Toyota,2021,142717,Petrol,Automatic,1047000.0
Mahindra,2019,124771,Petrol,Automatic,821000.0
Tata,2017,43000,Petrol,Manual,694000.0
Maruti,2023,31737,Diesel,Manual,1001000.0
Maruti,2019,16485,CNG,Manual,765000.0
Honda,2023,43565,Diesel,Manual,1059000.0
Mahindra,2016,124614,Diesel,Automatic,805000.0
Hyundai,2019,70155,Petrol,Automatic,957000.0
Tata,2021,57487,Diesel,Manual,884000.0
Toyota,2023,134948,Diesel,Manual,1053000.0
Hyundai,2015,17342,Petrol,Manual,665000.0
Mahindra,2021,45806,Diesel,Automatic,1048000.0
Toyota,2019,53770,Petrol,Manual,846000.0
Honda,2021,83623,Petrol,Automatic,1059000.0
Honda,2023,108177,Petrol,Manual,959000.0
Maruti,2013,136026,Petrol,Automatic,597000.0
Mahindra,2023,80629,Diesel,Manual,962000.0
Tata,2023,125993,Petrol,Automatic,1038000.0
Toyota,2016,131944,Petrol,Manual,761000.0
Hyundai,2020,110947,Diesel,Manual,849000.0
Mahindra,2015,31399,Diesel,Manual,694000.0
Mahindra,2022,133177,CNG,Automatic,996000.0
Honda,2017,114575,Diesel,Manual,739000.0
Maruti,2012,115904,Diesel,Automatic,589000.0
Maruti,2020,35678,CNG,Automatic,891000.0
Toyota,2012,81218,Diesel,Manual,637000.0
Honda,2016,68230,Diesel,Manual,759000.0
Mahindra,2015,79055,Diesel,Manual,692000.0
Tata,2023,77258,Diesel,Automatic,1124000.0
Honda,2014,44986,CNG,Manual,604000.0
Toyota,2017,90595,Diesel,Automatic,957000.0
Toyota,2013,106358,Diesel,Automatic,833000.0
Honda,2014,69929,CNG,Manual,567000.0
Toyota,2016,78506,Petrol,Manual,707000.0
Honda,2020,39911,CNG,Manual,867000.0
Hyundai,2013,92127,Petrol,Manual,504000.0
Honda,2021,118453,CNG,Manual,923000.0
Honda,2019,89458,CNG,Manual,788000.0
Toyota,2013,17175,Diesel,Automatic,862000.0
Toyota,2022,124235,Petrol,Automatic,1084000.0
Maruti,2016,59771,Diesel,Automatic,821000.0
Maruti,2018,132157,Petrol,Manual,661000.0
Hyundai,2019,126300,CNG,Automatic,871000.0
Maruti,2012,91925,CNG,Automatic,593000.0
Honda,2017,71358,Petrol,Automatic,881000.0
Toyota,2012,52057,Diesel,Automatic,824000.0
Maruti,2013,11150,Diesel,Automatic,814000.0
Maruti,2012,9425,Diesel,Manual,536000.0
Hyundai,2022,21032,Diesel,Manual,994000.0
Mahindra,2016,7198,CNG,Automatic,828000.0
Hyundai,2021,149931,CNG,Automatic,1009000.0
Honda,2020,123865,CNG,Automatic,956000.0
Toyota,2017,144777,CNG,Manual,693000.0
Hyundai,2022,28236,CNG,Manual,868000.0
Maruti,2022,92955,Diesel,Automatic,1052000.0
Toyota,2012,108145,Diesel,Manual,602000.0
Toyota,2012,99914,Diesel,Manual,680000.0
Maruti,2013,107870,Diesel,Automatic,739000.0
Hyundai,2020,121243,CNG,Manual,748000.0
Maruti,2014,19596,CNG,Manual,519000.0
Mahindra,2012,137351,CNG,Automatic,594000.0
Toyota,2016,116496,Petrol,Manual,764000.0
Tata,2018,135273,Diesel,Manual,744000.0
Tata,2017,143155,Diesel,Automatic,829000.0
Honda,2023,125674,CNG,Manual,925000.0
Maruti,2012,125307,Diesel,Manual,468000.0
Maruti,2016,24063,Diesel,Automatic,866000.0
Honda,2016,72642,CNG,Automatic,802000.0
Honda,2017,95093,Petrol,Automatic,867000.0
Honda,2014,40954,Petrol,Manual,674000.0
Toyota,2016,32856,Petrol,Automatic,891000.0
Mahindra,2018,7573,CNG,Manual,703000.0
Maruti,2016,40367,Diesel,Automatic,843000.0
Toyota,2016,104608,CNG,Manual,687000.0
Honda,2016,65774,CNG,Automatic,842000.0
Maruti,2021,28752,Diesel,Automatic,1055000.0
Toyota,2021,60029,Petrol,Automatic,1099000.0
Mahindra,2014,135282,Petrol,Automatic,701000.0
Toyota,2012,56693,CNG,Manual,540000.0
Mahindra,2016,121739,Petrol,Automatic,792000.0
Honda,2020,60961,CNG,Automatic,1016000.0
Mahindra,2012,131678,CNG,Manual,415000.0
Maruti,2014,79532,Diesel,Automatic,740000.0
Honda,2015,86994,Diesel,Manual,738000.0
Maruti,2012,61133,Diesel,Automatic,685000.0
Tata,2012,66268,CNG,Automatic,646000.0
Hyundai,2019,36653,Diesel,Automatic,995000.0
Mahindra,2013,126829,Petrol,Manual,462000.0
Hyundai,2023,133377,Petrol,Automatic,1079000.0
Hyundai,2019,6622,CNG,Automatic,958000.0
Mahindra,2018,53756,CNG,Automatic,914000.0
Honda,2021,45809,Diesel,Manual,1003000.0
Tata,2021,21725,CNG,Manual,855000.0
Maruti,2013,56226,CNG,Automatic,655000.0
Toyota,2017,86182,Petrol,Manual,771000.0
Maruti,2017,34402,Petrol,Automatic,796000.0
Toyota,2014,9263,Diesel,Automatic,899000.0
Maruti,2022,52924,CNG,Automatic,1023000.0
Mahindra,2013,79182,CNG,Automatic,680000.0
Tata,2023,147736,Petrol,Automatic,1061000.0
Toyota,2012,40737,CNG,Automatic,707000.0
Honda,2017,106332,Petrol,Automatic,869000.0
Maruti,2023,94563,Diesel,Manual,957000.0
Maruti,2016,133575,Petrol,Manual,577000.0
Toyota,2022,106371,CNG,Manual,921000.0
Honda,2020,43709,Diesel,Manual,937000.0
Honda,2012,26172,Petrol,Manual,590000.0
Mahindra,2018,16555,Petrol,Manual,766000.0
Mahindra,2016,58276,Diesel,Manual,686000.0
Mahindra,2016,62492,Diesel,Automatic,847000.0
Mahindra,2013,94599,Petrol,Automatic,689000.0
Mahindra,2022,16046,CNG,Automatic,1058000.0
Mahindra,2014,121021,Petrol,Automatic,717000.0
Tata,2018,9853,Diesel,Manual,821000.0
Honda,2017,125900,Petrol,Manual,717000.0
Mahindra,2023,64129,Diesel,Automatic,1156000.0
Honda,2013,119130,Diesel,Automatic,759000.0
Honda,2017,148184,CNG,Manual,710000.0
Hyundai,2013,126789,Diesel,Automatic,770000.0
Tata,2013,43890,Diesel,Automatic,702000.0
Mahindra,2013,71017,CNG,Automatic,657000.0
Maruti,2022,137596,Diesel,Automatic,1032000.0
Toyota,2014,105424,CNG,Manual,609000.0
Maruti,2013,20048,CNG,Automatic,704000.0
Tata,2015,59912,Diesel,Automatic,817000.0
Toyota,2020,39008,Diesel,Manual,946000.0
Tata,2017,136132,Petrol,Manual,670000.0
Honda,2012,88559,CNG,Automatic,664000.0
Toyota,2019,60337,Petrol,Manual,879000.0
Honda,2023,115616,Diesel,Automatic,1216000.0
Maruti,2018,18350,Petrol,Automatic,891000.0
Maruti,2021,29354,CNG,Manual,806000.0
Toyota,2014,50186,Petrol,Automatic,766000.0
Toyota,2012,33145,CNG,Automatic,718000.0
Mahindra,2016,91123,Diesel,Automatic,894000.0
Tata,2015,25581,Diesel,Automatic,824000.0
Mahindra,2021,93929,CNG,Manual,756000.0
Tata,2019,28051,Diesel,Manual,821000.0
Mahindra,2012,56474,Diesel,Automatic,742000.0
Honda,2021,96748,Diesel,Manual,958000.0
Toyota,2012,130995,Diesel,Automatic,729000.0
Maruti,2023,74626,CNG,Automatic,1006000.0
Tata,2015,11960,Petrol,Automatic,772000.0
Tata,2019,41408,Petrol,Automatic,909000.0
Maruti,2016,99006,Diesel,Automatic,750000.0
Mahindra,2013,62134,Petrol,Manual,572000.0
Tata,2017,137413,Petrol,Automatic,839000.0
Honda,2016,95327,Diesel,Manual,697000.0
Toyota,2013,136410,Diesel,Manual,679000.0
Maruti,2022,148326,Petrol,Automatic,973000.0
Toyota,2022,16344,CNG,Automatic,1169000.0
Tata,2022,137822,Diesel,Automatic,1052000.0
Tata,2014,72957,CNG,Automatic,688000.0
Maruti,2020,110423,Petrol,Automatic,926000.0
Honda,2018,63053,Diesel,Manual,815000.0
Hyundai,2018,82454,CNG,Automatic,905000.0
Maruti,2022,95600,Diesel,Automatic,1019000.0
Hyundai,2017,127732,Petrol,Manual,674000.0
Mahindra,2019,42641,CNG,Manual,784000.0
Hyundai,2015,34711,Petrol,Automatic,787000.0
Honda,2019,75342,Petrol,Manual,846000.0
Mahindra,2015,111896,Diesel,Automatic,845000.0
Hyundai,2019,148254,CNG,Manual,756000.0
Mahindra,2020,92833,Petrol,Manual,756000.0
Hyundai,2014,61276,Petrol,Automatic,753000.0
Honda,2014,24541,CNG,Manual,649000.0
Hyundai,2022,99457,Petrol,Manual,861000.0
Hyundai,2013,49813,Petrol,Manual,587000.0
Hyundai,2021,144892,CNG,Manual,828000.0
Maruti,2014,29070,CNG,Manual,499000.0
Maruti,2014,147194,CNG,Manual,501000.0
Maruti,2016,85559,CNG,Automatic,745000.0
Honda,2016,46786,Diesel,Automatic,936000.0
Mahindra,2013,142809,CNG,Manual,450000.0
Tata,2023,41062,Diesel,Automatic,1144000.0
Hyundai,2021,56571,Diesel,Automatic,1031000.0
Hyundai,2017,30510,Diesel,Automatic,866000.0
Honda,2016,24426,Petrol,Manual,732000.0
Hyundai,2017,42265,Diesel,Automatic,962000.0
Maruti,2012,71150,Diesel,Manual,522000.0
Tata,2016,92312,Petrol,Automatic,782000.0
Toyota,2020,94613,Petrol,Manual,887000.0
Hyundai,2023,79910,Petrol,Manual,922000.0
Maruti,2021,57375,CNG,Automatic,945000.0
Toyota,2013,126826,Petrol,Automatic,759000.0
Tata,2012,40435,Petrol,Manual,487000.0
Toyota,2021,101443,Diesel,Automatic,1152000.0
Maruti,2022,139055,Petrol,Automatic,986000.0
Mahindra,2020,28510,CNG,Automatic,975000.0
Mahindra,2021,99071,Petrol,Manual,877000.0
Toyota,2020,11640,CNG,Manual,888000.0
Honda,2020,49547,Petrol,Automatic,1045000.0
Toyota,2017,59620,Petrol,Automatic,929000.0
Hyundai,2019,120608,Petrol,Automatic,930000.0
Hyundai,2022,12564,Petrol,Manual,924000.0
Mahindra,2012,118824,CNG,Manual,423000.0
Honda,2021,84273,CNG,Automatic,1021000.0
Maruti,2015,79859,Diesel,Automatic,724000.0
Hyundai,2012,115017,CNG,Automatic,604000.0
Mahindra,2019,128618,Petrol,Automatic,857000.0
Tata,2012,130341,Diesel,Automatic,678000.0
Mahindra,2014,34430,Diesel,Automatic,834000.0
Hyundai,2015,32788,Diesel,Manual,678000.0
Hyundai,2019,149991,Petrol,Automatic,918000.0
Mahindra,2017,74346,CNG,Manual,700000.0
Maruti,2021,101122,Petrol,Automatic,987000.0
Toyota,2023,44974,Diesel,Automatic,1244000.0
Hyundai,2018,112309,Petrol,Manual,756000.0
Mahindra,2019,21371,Petrol,Manual,790000.0
Mahindra,2013,50084,CNG,Manual,527000.0
Honda,2021,66916,CNG,Manual,863000.0
Toyota,2022,78972,Diesel,Automatic,1159000.0
Tata,2019,17984,Petrol,Manual,792000.0
Maruti,2014,38039,Petrol,Automatic,721000.0
Tata,2018,90431,CNG,Manual,720000.0
Toyota,2014,88691,Petrol,Automatic,814000.0
Toyota,2018,63606,Petrol,Automatic,997000.0
Toyota,2022,146688,Petrol,Automatic,1116000.0
Tata,2023,107665,CNG,Automatic,1107000.0
Toyota,2013,110373,Diesel,Automatic,751000.0
Mahindra,2021,29574,Diesel,Automatic,1065000.0
Tata,2017,139502,Petrol,Manual,694000.0
Toyota,2014,148748,Diesel,Automatic,815000.0
Mahindra,2014,146888,CNG,Manual,543000.0
Honda,2020,37733,CNG,Manual,858000.0
Toyota,2018,7050,Diesel,Automatic,1120000.0
Tata,2016,114996,Diesel,Manual,639000.0
Hyundai,2023,38933,Petrol,Automatic,1157000.0
Toyota,2021,29951,Diesel,Manual,1068000.0
Hyundai,2018,37413,Petrol,Automatic,891000.0
Mahindra,2020,117573,Petrol,Manual,825000.0
Honda,2012,140566,CNG,Automatic,601000.0
Maruti,2018,127744,CNG,Automatic,797000.0
Honda,2017,94431,CNG,Automatic,845000.0
Toyota,2021,48001,CNG,Automatic,1004000.0
Hyundai,2023,72364,Diesel,Manual,1017000.0
Hyundai,2020,129988,CNG,Automatic,929000.0
Tata,2012,50028,Diesel,Manual,589000.0
Hyundai,2015,136878,CNG,Manual,590000.0
Tata,2020,129343,Diesel,Manual,894000.0
Mahindra,2015,133301,Petrol,Automatic,747000.0
Maruti,2021,131295,Diesel,Manual,841000.0
Toyota,2014,39636,Diesel,Manual,725000.0
Tata,2020,29262,CNG,Manual,782000.0
Maruti,2013,85435,Diesel,Automatic,631000.0
Hyundai,2015,133583,Petrol,Automatic,747000.0
Hyundai,2017,46844,Petrol,Manual,665000.0
Maruti,2013,69754,CNG,Automatic,639000.0
Hyundai,2019,82129,Petrol,Automatic,902000.0
Mahindra,2019,45042,Diesel,Manual,821000.0
Mahindra,2012,66665,Petrol,Manual,487000.0
Maruti,2023,121953,CNG,Automatic,993000.0
Tata,2014,123533,Diesel,Manual,588000.0
Tata,2021,78781,CNG,Automatic,993000.0
Maruti,2020,71262,Diesel,Automatic,967000.0
Tata,2016,51600,Petrol,Automatic,819000.0
Tata,2017,81898,CNG,Automatic,881000.0
Mahindra,2015,35448,CNG,Automatic,774000.0
Tata,2021,31172,Diesel,Automatic,1059000.0
Honda,2013,12657,CNG,Manual,560000.0
Toyota,2022,117855,Diesel,Manual,1005000.0
Hyundai,2019,12906,Diesel,Automatic,997000.0
Honda,2022,66413,Diesel,Automatic,1155000.0
Tata,2017,59028,Diesel,Automatic,894000.0
Mahindra,2016,12287,Petrol,Manual,629000.0
Maruti,2020,38660,Diesel,Automatic,1000000.0
Tata,2012,65504,CNG,Manual,490000.0
Mahindra,2016,107979,Petrol,Automatic,784000.0
Toyota,2017,39701,CNG,Automatic,901000.0
Tata,2016,88300,Petrol,Manual,595000.0
Maruti,2017,88560,Diesel,Manual,650000.0
Mahindra,2017,48642,Petrol,Automatic,891000.0
Mahindra,2018,70160,Petrol,Automatic,889000.0
Mahindra,2015,22602,CNG,Automatic,792000.0
Toyota,2022,108320,CNG,Manual,982000.0
Tata,2019,93801,Diesel,Manual,831000.0
Toyota,2018,30931,Petrol,Manual,828000.0
Hyundai,2020,99377,Petrol,Manual,825000.0
Hyundai,2018,34192,Petrol,Manual,754000.0
Tata,2014,51542,Diesel,Manual,603000.0
Toyota,2014,132015,Diesel,Automatic,844000.0
